	SPOKE	EHR
0	DB00953	187660
1	DB00953	187661
2	DB00953	187662
3	DB00953	187592
4	DB00953	187593
5	DB00953	187590
6	DB00953	187591
7	DB00953	187596
8	DB00953	187597
9	DB00953	187594
10	DB00953	187595
11	DB00953	187598
12	DB00953	185116
13	DB00953	185118
14	DB00953	185119
15	DB00953	27629
16	DB00953	187659
17	DB00953	185129
18	DB00953	185128
19	DB00953	185121
20	DB00953	185120
21	DB00953	185123
22	DB00953	185122
23	DB00953	185125
24	DB00953	185124
25	DB00953	185127
26	DB00953	185126
27	DB00953	185117
28	DB00953	27630
29	DB00953	23381
30	DB00953	187574
31	DB00953	187579
32	DB00953	185130
33	DB00953	235801
34	DB00953	23380
35	DB00953	187575
36	DB00953	187581
37	DB00953	187580
38	DB00953	187583
39	DB00953	187582
40	DB00953	187585
41	DB00953	187584
42	DB00953	187587
43	DB00953	187586
44	DB00953	187589
45	DB00953	187588
46	DB00953	187573
47	DB00953	187576
48	DB00953	187577
49	DB00953	187578
50	DB00953	23378
51	DB00953	23379
52	DB00953	23376
53	DB00953	23377
54	DB00953	236358
55	DB00597	6601
56	DB00597	10100
57	DB00597	106801
58	DB00597	106246
59	DB00597	111219
60	DB00446	249869
61	DB00446	249868
62	DB00446	249865
63	DB00446	249864
64	DB00446	249867
65	DB00446	249866
66	DB00446	249861
67	DB00446	249860
68	DB00446	249863
69	DB00446	249862
70	DB00446	240149
71	DB00446	240148
72	DB00446	229618
73	DB00446	19594
74	DB00446	19593
75	DB00446	22354
76	DB00446	227544
77	DB00446	102690
78	DB00446	229408
79	DB00446	104261
80	DB00446	240150
81	DB00446	103030
82	DB00446	238282
83	DB00446	103201
84	DB00446	235301
85	DB00446	251430
86	DB00446	1632
87	DB00446	1636
88	DB00446	19207
89	DB00446	25518
90	DB00446	238803
91	DB00446	17217
92	DB00446	237191
93	DB00446	260475
94	DB00446	235045
95	DB00446	249858
96	DB00446	249859
97	DB00446	249856
98	DB00446	249857
99	DB00742	400239
100	DB00742	157163
101	DB00742	157161
102	DB00742	157167
103	DB00742	157165
