	SPOKE	EHR
0	DOID:1686	365
1	DOID:1686	365.9
2	DOID:1686	377.14
3	DOID:1686	365.1
4	DOID:1686	365.10
5	DOID:1686	365.13
6	DOID:1686	365.81
7	DOID:1686	365.83
8	DOID:1686	365.59
9	DOID:1686	365.65
10	DOID:1686	365.00
11	DOID:1686	365.3
12	DOID:1686	365.9
13	DOID:1686	365
14	DOID:1686	H40
15	DOID:1686	H40.839
16	DOID:1686	H40.832
17	DOID:1686	H40.833
18	DOID:1686	H40.041
19	DOID:1686	H40.043
20	DOID:1686	H40.042
21	DOID:1686	H40.049
22	DOID:1686	H40.1214
23	DOID:1686	H40.063
24	DOID:1686	H40.1210
25	DOID:1686	H40.1211
26	DOID:1686	H40.1212
27	DOID:1686	H40.1213
28	DOID:1686	H40.1393
29	DOID:1686	H40.052
30	DOID:1686	H40.053
31	DOID:1686	H40.051
32	DOID:1686	H40.059
33	DOID:1686	H40.2214
34	DOID:1686	H40.029
35	DOID:1686	H40.9
36	DOID:1686	H40.2220
37	DOID:1686	H40.2221
38	DOID:1686	H40.2222
39	DOID:1686	H40.2223
40	DOID:1686	H40.2224
41	DOID:1686	H40.813
42	DOID:1686	H40.819
43	DOID:1686	H40.1320
44	DOID:1686	H40.1321
45	DOID:1686	H40.1322
46	DOID:1686	H40.1323
47	DOID:1686	H40.211
48	DOID:1686	H40.212
49	DOID:1686	H40.213
50	DOID:1686	H40.219
51	DOID:1686	H40.023
52	DOID:1686	H40.022
53	DOID:1686	H40.021
54	DOID:1686	H40.1294
55	DOID:1686	H40.1290
56	DOID:1686	H40.1291
57	DOID:1686	H40.1292
58	DOID:1686	H40.1293
59	DOID:1686	H40.2233
60	DOID:1686	H40.2232
61	DOID:1686	H40.2231
62	DOID:1686	H40.2230
63	DOID:1686	H40.2234
64	DOID:1686	H40.1232
65	DOID:1686	H40.1233
66	DOID:1686	H40.1230
67	DOID:1686	H40.1231
68	DOID:1686	H40.1234
69	DOID:1686	H40.1333
70	DOID:1686	H40.1332
71	DOID:1686	H40.1331
72	DOID:1686	H40.1330
73	DOID:1686	H40.1334
74	DOID:1686	H40.1390
75	DOID:1686	H40.243
76	DOID:1686	H40.031
77	DOID:1686	H40.032
78	DOID:1686	H40.033
79	DOID:1686	H40.039
80	DOID:1686	H40.1224
81	DOID:1686	H40.1221
82	DOID:1686	H40.1220
83	DOID:1686	H40.1223
84	DOID:1686	H40.1222
85	DOID:1686	H40.812
86	DOID:1686	H40.239
87	DOID:1686	H40.1430
88	DOID:1686	H40.233
89	DOID:1686	H40.1432
90	DOID:1686	H40.1433
91	DOID:1686	H40.1434
92	DOID:1686	H40.001
93	DOID:1686	H40.003
94	DOID:1686	H40.002
95	DOID:1686	H40.009
96	DOID:1686	H40.1311
97	DOID:1686	H40.1310
98	DOID:1686	H40.1313
99	DOID:1686	H40.1312
100	DOID:1686	H40.1314
