CUI	CODE
C0740085	83935
C0373691	83937
C0373690	83930
C3248223	81404
C3248224	81405
C2724326	83520
C1144710	84302
C1256585	84300
C0202225	84439
C1281902	84436
C0302279	84430
C0373937	86765
C3248151	81240
C3248152	81241
C0373841	86215
C0337439	83540
C0373737	84540
C3248220	81401
C1314102	87329
C0373563	82340
C0373631	83010
C0373919	86710
C0373877	86606
C0373775	85245
C0373776	85246
C0200405	85240
C0524167	83655
C0373779	85300
C0524238	80184
C0373488	80185
C0373487	80182
C0373762	85025
C0201657	86140
C0973334	86141
C0373832	86147
C0373490	80299
C0373996	87081
C0374001	87086
C0373825	86003
C0918183	86001
C0373573	82390
C0337432	82157
C0201883	82150
C0373609	82784
C0202086	82785
C0373847	86256
C0373846	86255
C0373557	82300
C0202248	84586
C2724323	82306
C0201849	84588
C0202218	84270
C0202035	82977
C0202227	84403
C0523289	86698
C3248171	81270
C0373595	82575
C0200883	88262
C0201930	82374
C0973332	82274
C0519831	84479
C0202113	83615
C0201933	82378
C0373792	85384
C0337448	80158
C1443189	80156
C0373931	86747
C0373791	85379
C0474563	83051
C0200410	85270
C2724330	86592
C0374035	87205
C0373534	82055
C0373519	81002
C0201544	84153
C1314098	84157
C0373708	84155
C0373705	84144
C0373748	84630
C0202236	84478
C0428257	83825
C0373817	85651
C0201898	82180
C0373749	84702
C0373750	84703
C0005845	84520
C0202230	84443
C0202233	84442
C3248154	81243
C0201910	82232
C0373629	82985
C0373842	86225
C0695071	83891
C0202251	84207
C0489943	82330
C0201983	82627
C0373598	82626
C3248177	81291
C0202022	83001
C0202123	83002
C3248229	86703
C0373848	86704
C0373849	86705
C0373851	86708
C0373852	86709
C1318221	80101
C0373784	85335
C0201913	82247
C0373587	82525
C3248145	81224
C2242817	83090
C0697273	82248
C3248141	81220
C0373942	86778
C0200382	80061
C0523295	86777
C0373906	86677
C0428432	84110
C0373568	82380
C0373745	84590
C0519863	87425
C0373486	80154
C0373740	84560
C0918188	86304
C0373670	83690
C1096202	83695
C0918187	86301
C0201380	86308
C0373719	84244
C0519884	87497
C0373576	82465
C0695106	88275
C0695104	88273
C0695102	88271
C0519832	84484
C0202237	84480
C0202223	84482
C0373638	83036
C0373637	83033
C0201968	82533
C0373781	85303
C0373783	85306
C0523313	86735
C0373675	83735
C3248192	81315
C0200409	85260
C0373537	82103
C0337433	82104
C0546833	82105
C0202311	82108
C1262310	86645
C0201338	86644
C0373706	84146
C0373753	85008
C0973340	87902
C0337446	84510
C0201899	84450
C0373945	86787
C0201970	82634
C0373599	82633
C1504162	86335
C1611269	86334
C0374071	88230
C0994508	86336
C0374073	88235
C0373535	82088
C0695063	82731
C0373658	83550
C0202075	83498
C0373645	83070
C0427592	85220
C0373590	82550
C0236577	82553
C0373836	86160
C0373838	86162
C0919241	80173
C0373936	86762
C0202404	80176
C0523827	84100
C0337452	80178
C0373876	86603
C0202179	84105
C2939276	85597
C0201487	86803
C0918186	86300
C0373809	85576
C0677634	85670
C0519856	87340
C0201850	84075
C0519934	87799
C0373548	82175
C0373604	82705
C0373868	86376
C0236379	82679
C0373652	83516
C0373721	84255
C0337434	82670
C2349989	83880
C0918178	83921
C0200484	85613
C0201661	86430
C0201662	86431
C3248161	81257
C3248160	81256
C1610653	86200
C0373739	84550
C0202252	82607
C0202364	82600
C0374094	89060
C0200408	85250
C0519826	80197
C0202463	80196
C1618097	80195
C0039773	80198
C0201984	82135
C0202195	84133
C0302353	84132
C0337441	84134
C0373693	84030
C0373835	86157
C0373524	81025
C3248203	81350
C0523891	84295
C0587178	86038
C0201953	82436
C0373594	82570
C0391938	82435
C0373527	82003
C0373575	82438
C0202100	84681
C3248167	81265
C0201925	82310
C0373607	82728
C0373606	82725
C0523658	82947
C0918175	82945
C0337437	82943
C0202036	82941
C3248129	81206
C0200396	85210
C0202105	84466
C0851339	83986
C0201836	84460
C0337449	80162
C0202369	80160
C0202495	80164
C0202381	80168
C0427599	85360
C0040049	85730
C0523466	82042
C0523465	82040
C0519859	87385
C0519160	84481
C0202115	83605
C0002500	80150
C0202316	80152
C0202376	80166
C0202391	80170
C0202456	80188
C0202457	80190
C0202490	80200
C0489941	80202
C0201835	82024
C0373539	82106
C0201888	82164
C0201914	82239
C0201923	82261
C0201924	82308
C0201815	82355
C0373570	82383
C0373577	82480
C0236401	82530
C0201975	82565
C0202093	82595
C2724324	82652
C0337435	82677
C0202382	82693
C0202020	82746
C0427418	82747
C0373620	82948
C0373621	82950
C0202056	83003
C0519155	83721
C0202418	83840
C0202431	83887
C0202153	83945
C0202159	83970
C1273437	84154
C0302278	84210
C0202228	84402
C0337445	84432
C0201682	84999
C0373755	85013
C0033707	85610
C0391802	85810
C0519834	86148
C0373844	86235
C0373898	86654
C0373901	86664
C0373902	86665
C0523276	86684
C0373914	86695
C0918192	86696
C0201484	86707
C0523277	86713
C0201512	86800
C0373958	86880
C0519857	87350
C0519865	87449
C0519892	87521
C0519905	87536
