CUI	CODE
C0364160	2028-9
C0800968	17861-6
C0364207	2075-0
C0484731	2345-7
C0364968	2823-3
C0365095	2951-2
C0365240	3094-0
C0364708	2093-3
C0364714	2571-8
C0482544	1558-6
C0800963	17856-6
C0800067	16933-4
C0879891	22322-2
C0804234	21440-3
C1113711	29771-3
C0363876	1742-6
C0364055	1920-8
C0364121	1988-5
C0364128	1995-0
C0364411	2276-4
C0802053	19123-9
C0365160	3016-3
C0364264	2132-9
C1954793	49054-0
C0366777	4544-3
C0362923	718-7
C0942474	26515-7
C0365392	3173-2
C0364479	2339-0
C0364961	6298-4
C0365091	2947-0
C0363885	1751-7
C0484638	6768-6
C0365029	2885-2
C1317004	34543-9
C1370010	2777-1
C0482602	2842-3
C0364459	2324-2
C0365184	3040-3
C0802237	19343-3
C0803467	20664-9
C0797497	14316-4
C0365627	3397-7
C0802425	19550-3
C0802193	19296-3
C0801328	18282-4
C0797143	13955-0
C0365168	3024-7
C0368381	5176-3
C0368005	5781-0
C0366770	4537-7
C0482705	3255-7
C0368523	5244-9
C1717151	46130-1
C0365228	3084-1
C0364290	2157-6
C1646772	42757-5
C1642559	42637-9
C0802050	19113-0
C1953449	48065-7
C0798376	15205-8
C1316398	33935-8
C0367394	5048-4
C0367411	5130-0
C0483090	5348-8
C0550258	11054-4
C1507892	35741-8
C0797153	13965-9
C0797152	13964-2
C0801096	18047-1
C0363880	1746-7
C0364482	2342-4
C0365023	2880-3
C0367788	5631-7
C0367978	5763-8
C0368404	5196-1
C2360689	51931-4
C0551368	8099-4
C0800069	16935-9
C0941565	25418-5
C0802083	19162-7
C0484652	1798-8
C0362960	5905-5
C0362909	788-0
C0362952	736-9
C0365067	2923-1
C0364598	2458-8
C0364605	2465-3
C0364612	2472-9
C0364885	2742-5
C0882498	24385-7
C0881651	24386-5
C0943506	27811-9
C1316393	33930-9
C0482768	4677-1
C0804457	21667-1
C0941956	25907-7
C0367250	5370-2
C1508063	36923-1
C0364674	2532-0
C0364378	2243-4
C0366195	3968-5
C0941788	25700-6
C0367867	5681-2
C0365749	3520-4
C0365197	3053-6
C0365170	3026-2
C0364665	2524-7
C0364236	2106-3
C0484675	10334-1
C1114799	31017-7
C0800887	17780-8
C0363897	1763-2
C0365059	2915-7
C0364275	2143-6
C0363881	1747-5
C0364639	2498-4
C0803289	20475-0
C0363968	1834-1
C0942591	26658-5
C0364872	2729-2
C0363976	1841-6
C0364835	2692-2
C0364838	2695-5
C0365099	2955-3
C0550795	11253-2
C0362902	713-8
C0362947	731-0
C0362968	751-8
C0365243	3097-3
C0362894	706-2
C0363929	1795-4
C0882469	24108-3
C0484676	6875-9
C0800949	17842-6
C0944729	29247-4
C0364484	2344-0
C0364671	2529-6
C0365025	2881-1
C1953859	48346-1
C0485815	9796-4
C0368563	630-4
C1148040	32356-8
C0367871	5685-3
C1977499	49748-7
C2598768	53776-1
C1147970	32286-7
C0797155	13967-5
C1954772	49041-7
C0802054	19124-7
C0364971	2828-2
C0800504	17384-9
C0367803	5645-7
C0799360	16195-0
C1977198	49412-0
C0364302	2168-3
C0366711	4485-9
C0366727	4498-2
C1627302	42176-8
C1507517	35383-9
C0550264	13457-7
C0797462	14277-8
C0797463	14278-6
C2361515	53029-5
C0367984	5769-5
C0486210	8247-9
C0551232	13440-3
C1641059	42587-6
C1543846	39804-0
C0367879	5290-2
C0803237	1825-9
C2360710	51951-2
C0797138	13950-1
C0364171	2039-6
C0364196	2064-4
C1831380	47318-1
C0365241	3095-7
C0365532	3298-7
C0367801	5643-2
C0366251	4024-6
C2360483	51782-1
C1114318	30471-7
C0879864	22290-1
C0802028	19080-1
C0804562	21773-7
C0366775	4542-7
C0945362	26507-4
C0942480	26523-1
C0944135	28541-1
C0942460	26498-6
C1114286	30433-7
C0367857	5671-3
C0364496	2356-4
C0800969	17862-4
C0484920	10535-3
C0797157	13969-1
C0363802	1668-3
C0368389	5185-4
C0550281	12190-5
C1979225	51165-9
C0365000	2857-1
C0368449	5218-3
C1977185	49399-9
C0944938	29495-9
C0363983	1848-1
C0364840	2697-1
C0485742	8039-0
C0797114	13926-1
C0796824	13633-3
C1146894	31209-0
C0484416	7789-1
C0362997	7791-7
C0362890	702-1
C0549796	11274-8
C0879890	22320-6
C1147862	32178-6
C1544682	40727-0
C0364923	2778-9
C1508053	36913-2
C0362900	711-2
C0362907	786-4
C0362906	785-6
C0362908	787-2
C1315182	32623-1
C0362958	742-7
C0362910	789-8
C0484430	6690-2
C0362994	777-3
C0796919	13728-1
C0796987	13797-6
C0801360	18314-5
C0797515	14334-7
C1977342	49587-9
C0800945	17838-4
C0364185	2053-7
C0487992	8277-6
C0942776	26881-3
C1977189	49403-9
C0363002	800-3
C1705870	43191-6
C0941661	25542-2
C0363895	1761-6
C0362891	703-9
C0484448	10378-8
C0363004	802-9
C0364327	2193-1
C0482217	1006-6
C0368444	5213-4
C0881726	24477-2
C0367767	5622-6
C0797397	14212-5
C0366099	3872-9
C0550178	11034-6
C0364821	2676-5
C1714773	43433-2
C1507443	35300-3
C0365943	3714-3
C0484421	7792-5
C0363005	803-7
C1544628	40673-6
C0364210	2078-4
C0367790	5633-3
C0881432	24119-0
C0484944	6948-4
C1114402	30567-2
C1315240	32769-2
C0943514	27819-2
C1526416	38415-6
C0366312	4086-5
C0797392	14207-5
C1114208	30343-8
C0366323	4097-2
C3481469	48577-1
C0482775	6014-5
C1644653	41867-3
C1114387	30552-4
C0367994	5774-5
C0947259	27810-1
C0364891	2748-2
C2706706	54370-2
C0364964	2821-7
C0365094	2950-4
C1830059	47213-4
C1954807	49062-3
C0365144	3000-7
C1114721	30934-4
C0945044	29620-2
C0364325	2191-5
C0798239	15067-2
C0484796	10501-5
C0363989	1854-9
C0484619	6765-2
C0484687	9811-1
C0798241	15069-8
C1147128	31443-5
C0483665	7094-6
C0364298	2164-2
C0365286	3141-9
C0365282	3137-7
C0363791	1657-6
C0364367	2232-7
C0364813	2668-2
C0364352	2218-6
C0804216	21422-1
C2598492	53959-3
C0364279	2147-7
C1114084	30199-4
C0485107	6864-3
C0364752	3129-4
C1954804	49060-7
C1316838	34376-4
C1543208	39087-2
C0364641	2500-7
C0362926	721-1
C0364733	2589-0
C0367470	5358-7
C0364104	1971-1
C0364280	2148-5
C0364625	2483-6
C0364626	2484-4
C0366196	3969-3
C0365195	3051-0
C2734110	56147-2
C2735769	57371-7
C0364119	1986-9
C0802509	19644-4
C0368021	5793-5
C1830316	46434-7
C0362996	5908-9
C0484419	7790-9
C0368058	5809-9
C1113987	30089-7
C0942079	26052-1
C0368077	5817-2
C0943568	27882-0
C0365661	3432-2
C0802164	19265-8
C1716017	44802-7
C0364471	2333-3
C2360576	51867-0
C1977126	49340-3
C0485863	6969-0
C0797301	14115-0
C1507591	35457-1
C0551405	12293-7
C1978673	50684-0
C1716318	45171-6
C0484665	1903-4
C0798233	15061-5
C0482592	1869-7
C0365165	3021-3
C0484848	6892-4
C0482655	3232-6
C0365196	3052-8
C0797496	14315-6
C0804345	21551-7
C0367930	5724-0
C1114252	19048-8
C1316632	34169-3
C0364476	2338-2
C0365271	3125-2
C0364490	2350-7
C0550543	10839-9
C1315477	33006-8
C0367589	698-1
C1954348	48726-4
C0365230	3086-6
C1369879	35087-6
C0550230	13485-8
C0366275	4049-3
C1316782	34319-4
C0365083	2939-7
C0485284	7846-9
C0366878	4644-1
C0945541	27822-6
C1977226	49448-4
C0365039	2895-1
C0367720	5583-0
C0367754	5609-3
C0364086	1953-9
C0803219	20404-0
C0484444	7795-8
C1315827	33358-3
C0484456	10381-2
C2708372	55164-8
C0804177	21383-5
C0804056	21262-1
C0368366	6412-1
C0368155	6331-3
C0803902	21108-6
C2598938	53731-6
C0483140	5058-3
C0804559	21770-3
C0485748	9826-9
C0365867	3638-4
C0366175	3948-7
C1316447	33984-6
C0364864	2721-9
C0803310	20499-0
C0801855	18862-3
C0801857	18864-9
C0801858	18865-6
C0801872	18879-7
C0801888	18895-3
C0801899	18906-8
C0803434	20629-2
C0801948	18955-5
C0801921	18928-2
C0801989	18996-9
C0801991	18998-5
C1507953	35802-8
C0364899	2756-5
C0482696	3243-3
C0945438	26980-3
C0796827	13636-6
C0800823	17713-9
C0799307	16142-2
C0880645	23198-5
C1717235	43296-3
C0797208	14020-2
C0485435	9664-4
C1977665	49865-9
C1544419	40444-2
C0796943	13753-9
C0365068	2924-9
C0804477	21687-9
C0364661	2520-5
C0803235	20420-6
C0797065	13876-8
C0945642	28660-9
C0803971	21654-9
C0367396	5076-5
C0365329	6303-2
C0365760	3531-1
C1316930	34468-9
C0803318	20507-0
C1954438	48796-7
C0943510	27815-0
C1114047	30159-8
C0797833	14658-9
C0801871	18878-9
C0801886	18893-8
C0802186	19289-8
C0365583	3349-8
C0364334	2200-4
C0803869	21074-0
C1954452	48805-6
C0485691	6629-0
C0484683	9830-1
C0798010	14836-1
C0364393	2258-2
C0798257	15085-4
C0368083	5041-9
C1831477	47431-2
C0804481	21691-1
C0482691	6301-6
C0803372	20563-3
C0881590	24312-1
C0797159	13971-7
C0363967	1833-3
C0363790	1656-8
C0943515	27820-0
C0796782	13591-3
C1542962	38901-5
C1624148	42772-4
C0484937	9834-3
C0365736	3507-1
C0364295	2161-8
C0367789	5632-5
C0797019	13829-7
C0364417	2282-2
C0549788	11281-3
C0799581	16429-3
C0364952	2810-0
C0880185	15066-4
C1953817	48311-5
C0486099	8198-4
C1315093	32619-9
C0366013	3786-1
C0802315	19429-0
C0365044	2900-9
C0797139	13951-9
C0367885	5696-0
C1714968	43590-9
C0365239	3093-2
C0797304	14118-4
C1315084	32610-8
C0367999	5775-2
C0364982	2839-9
C1714654	43302-9
C0367791	5634-1
C0367380	701-3
C1954475	48818-9
C0368028	5880-0
C0364643	2502-3
C0364642	2501-5
C0364238	2118-8
C1315239	32768-4
C0485343	9522-4
C1114403	30568-0
C0364193	2061-0
C1543820	39778-6
C0482703	3251-6
C1316368	33905-1
C0367314	5404-9
C0484927	6899-9
C0365272	3126-0
C0881427	24113-3
C0368259	5124-3
C0801861	18868-0
C0801962	18969-6
C0801987	18994-4
C0202274	12286-1
C0880259	22758-7
C0880577	23125-8
C0365868	3639-2
C0804156	21362-9
C0364956	2814-2
C0804479	21689-5
C1113716	29776-2
C0482633	3209-4
C0366046	3819-0
C1977237	49490-6
C1977238	49491-4
C0482697	3244-1
C0364557	2416-6
C0366151	3924-8
C0365788	3559-2
C0550200	12176-4
C0484453	7797-4
C0368470	5229-0
C0368484	5230-8
C0550311	11043-7
C0367706	5574-9
C0484550	8124-0
C0484547	8122-4
C0484553	8127-3
C0484567	8137-2
C0484554	8128-1
C0484555	8129-9
C0549864	13333-0
C1717174	46154-1
C0365100	2956-1
C0550585	11067-6
C0367802	5644-0
C2736182	57761-9
C0364627	2485-1
C0797516	14335-4
C0366290	4064-2
C0368556	6460-0
C0798049	14875-9
C0363933	1799-6
C0943091	27266-6
C0365898	3669-9
C0484865	6683-7
C0549838	12241-6
C0364211	2079-2
C0482611	3187-2
C2598412	53560-9
C1114397	30562-3
C1978650	50670-9
C1544676	40721-3
C0365845	3616-0
C0365723	3494-2
C0550344	12598-9
C0364405	2270-7
C0367980	5765-3
C1315693	33222-1
C1113937	30030-1
C0482772	3289-6
C0364448	2314-3
C0363814	1680-8
C0364954	2812-6
C0482730	3284-7
C0798188	15015-1
C1715854	44584-1
C0802439	19565-1
C1315487	33016-7
C0801400	18358-2
C0482780	4532-8
C0804159	21365-2
C0367773	5627-5
C1315744	33275-9
C0365727	3498-3
C1507774	35614-7
C0364281	2149-3
C0881646	24380-8
C0364577	2436-4
C0364385	2250-9
C0881233	23883-2
C2599031	53825-6
C0364654	2513-0
C0804478	21688-7
C0368213	6362-8
C0367774	5273-8
C0367775	5274-6
C0943518	27824-2
C0365652	3422-3
C0484540	8117-4
C0484539	8116-6
C1315135	32661-1
C0801958	18965-4
C0366909	4680-5
C0365146	3002-3
C0803463	20660-7
C0880191	20646-6
C0803430	20625-0
C0367338	664-3
C0368008	5784-4
C0365166	3022-1
C0365194	3050-2
C1114906	26524-9
C0367247	547-0
C0366702	4477-6
C0482722	3274-8
C0485414	10350-7
C0364943	2568-4
C0368033	5798-4
C0484692	6687-8
C0803997	21203-5
C0484674	9321-1
C0881254	23906-1
C1526486	38485-9
C0485057	9780-8
C0485056	9704-8
C0364895	2752-4
C0551214	13358-7
C0550822	13359-5
C0797379	14194-5
C0485074	10611-2
C0364085	1952-1
C1978817	50970-3
C0941571	25426-8
C0482617	3193-0
C0482641	3218-5
C0482622	3198-9
C0881179	23821-2
C0484159	7555-6
C0550869	10894-4
C0365111	2965-2
C0365244	3098-1
C1146886	31201-7
C0881213	23860-0
C0367985	5770-3
C0803268	20454-5
C0798232	15060-7
C0482649	3226-8
C1114812	31032-6
C1114811	31031-8
C0362631	6025-1
C0879690	22086-3
C0362630	6024-4
C0366902	4668-0
C1114408	30575-5
C0803222	20407-3
C0368035	5799-2
C0368042	5803-2
C0364945	2804-3
C0550476	12599-7
C0482608	3184-9
C1145649	6584-7
C0482218	1007-4
C0484485	10331-7
C0484664	10333-3
C1145723	10352-3
C0485843	10362-2
C0486103	10366-3
C0485042	10580-9
C0485049	10587-4
C0485067	10604-7
C0485084	10621-1
C0485090	10626-0
C0485100	10634-4
C0485610	10701-1
C0485915	10753-2
C0550349	10834-0
C0550993	10851-4
C0550419	10880-3
C0550456	10884-5
C0550471	10885-2
C0550486	10886-0
C0551124	10906-6
C0551126	10907-4
C0550679	10987-6
C0550704	10989-2
C0550739	10992-6
C0550755	10998-3
C0551008	11011-4
C0550227	11038-7
C0550275	11040-3
C0550339	11046-0
C0550574	11064-3
C0550633	11071-8
C0551360	11090-8
C0550176	11145-0
C0550386	11146-8
C0550836	11153-4
C0549806	11156-7
C0550754	11246-6
C0551000	11257-3
C0551009	11259-9
C0551185	11268-0
C0551075	11475-1
C0550221	11555-0
C0550440	11556-8
C0550246	11557-6
C0550447	11558-4
C0550441	11559-2
C0551303	11565-9
C0551356	11572-5
C0552001	11884-4
C0550181	12173-1
C0550279	12187-1
C1145716	12195-4
C0550316	12207-7
C0550533	12228-3
C0551085	12235-8
C0550433	12239-0
C0549856	12258-0
C0550202	12467-7
C0550201	12468-5
C0550210	12480-0
C0550401	12723-3
C0550491	12782-9
C0797306	12841-3
C0363454	1303-7
C0549813	13046-8
C0551323	13068-2
C0551342	13069-0
C0550832	13087-2
C0550911	13202-7
C0550915	13203-5
C0550932	13210-0
C0551010	13248-0
C0550849	13298-5
C0550854	13302-5
C0550852	13303-3
C0550862	13304-1
C0550856	13305-8
C0550863	13306-6
C0550393	13312-4
C0549877	13334-8
C0549872	13336-3
C0549880	13338-9
C0802029	13362-9
C0550265	13458-5
C0551383	13463-5
C0551402	13464-3
C0551443	13465-0
C0551437	13466-8
C0551477	13467-6
C0551482	13469-2
C0551496	13473-4
C0550439	13483-3
C0796846	13655-6
C0796896	13705-9
C0796908	13717-4
C0796913	13722-4
C0796924	13733-1
C0796925	13734-9
C0796926	13735-6
C0796946	13756-2
C0796961	13771-1
C0796972	13782-8
C0796973	13783-6
C0796991	13801-6
C0797024	13834-7
C0797115	13927-9
C0797133	13945-1
C0797134	13946-9
C0797137	13949-3
C0797140	13952-7
C0797141	13953-5
C0797142	13954-3
C0797154	13966-7
C0797177	13989-9
C0797178	13990-7
C0797180	13992-3
C0797207	14019-4
C0797209	14021-0
C0797215	14027-7
C0797216	14028-5
C0797217	14029-3
C0797218	14030-1
C0797229	14041-8
C0797250	14062-4
C0362230	141-2
C0797303	14117-6
C0797307	14121-8
C0797317	14131-7
C0797321	14135-8
C0797353	14168-9
C0797381	14196-0
C0797417	14232-3
C0797421	14236-4
C0797426	14241-4
C0797430	14245-5
C0797431	14246-3
C0797439	14254-7
C0797467	14285-1
C0797468	14286-9
C0797469	14287-7
C0797470	14288-5
C0797493	14312-3
C0797495	14314-9
C0797519	14338-8
C0363568	1434-0
C0797803	14628-2
C1765333	14638-1
C0797857	14683-7
C0797882	14708-2
C0797977	14803-1
C0797978	14804-9
C0798043	14869-2
C0798069	14895-7
C0798097	14924-5
C0798118	14945-0
C0798129	14956-7
C0798132	14959-1
C0798151	14978-1
C0798152	14979-9
C0363635	1501-6
C0798186	15013-6
C0798187	15014-4
C0363638	1504-0
C0798221	15048-2
C0798222	15049-0
C0798259	15087-0
C0798329	15158-9
C0798331	15160-5
C0798345	15174-6
C0363651	1518-0
C0798373	15202-5
C0798378	15207-4
C0798380	15209-0
C0482535	1521-4
C0363662	1530-5
C0798512	15343-7
C0798526	15357-7
C0798549	15380-9
C0798550	15381-7
C0798551	15382-5
C0798552	15383-3
C0798553	15384-1
C0798554	15385-8
C0798555	15386-6
C0798556	15387-4
C0798579	15410-4
C0799276	16111-7
C0799282	16117-4
C0799283	16118-2
C0799293	16128-1
C0799295	16130-7
C0799296	16131-5
C0799298	16133-1
C0799300	16135-6
C0799301	16136-4
C0799358	16193-5
C0799366	16201-6
C0799391	16226-3
C0799393	16228-9
C0799395	16230-5
C0799401	16236-2
C0799403	16238-8
C0799404	16239-6
C0799414	16249-5
C0799415	16250-3
C0799525	16362-6
C0799553	16400-4
C0363783	1649-3
C0800048	16914-4
C0800068	16934-2
C0363829	1695-6
C0800209	17080-3
C0800217	17088-6
C0800472	17351-8
C0363888	1754-1
C0363889	1755-8
C0363893	1759-0
C0800723	17609-9
C0363899	1765-7
C0800770	17656-0
C0800888	17781-6
C0800889	17782-4
C0800897	17790-7
C0800898	17791-5
C0800899	17792-3
C0800920	17813-7
C0800922	17815-2
C0800956	17849-1
C0800957	17850-9
C0800958	17851-7
C0800971	17864-0
C0800976	17869-9
C1148461	18185-9
C0363956	1823-4
C0801290	18244-4
C0801308	18262-6
C0801317	18271-7
C0801320	18274-1
C0363966	1832-5
C0801379	18337-6
C0363970	1835-8
C0801392	18350-9
C0801432	18390-5
C0801523	18482-0
C0801525	18484-6
C0801526	18485-3
C0801534	18493-7
C0801535	18494-5
C0364006	1871-3
C0801735	18719-5
C0801785	18771-6
C1153739	19049-6
C0803816	19050-4
C0879645	19053-8
C0802019	19066-0
C0812462	19072-8
C0802051	19114-8
C0802065	19139-5
C0802069	19145-2
C0802070	19146-0
C0802155	19252-6
C0802161	19261-7
C0802169	19270-8
C0802192	19295-5
C0802218	19321-9
C0802239	19346-6
C0364075	1942-2
C0802428	19554-5
C0802435	19561-0
C0802442	19568-5
C0364092	1959-6
C0802507	19642-8
C0802512	19648-5
C0802522	19659-2
C0364101	1968-7
C1369982	1974-5
C0364108	1975-2
C0364115	1982-8
C0364122	1989-3
C0364125	1992-7
C0364127	1994-3
C0362109	20-8
C0803213	20398-4
C0803214	20399-2
C0803216	20401-6
C0803220	20405-7
C0803251	20436-2
C0803252	20437-0
C0803253	20438-8
C0803261	20447-9
C0803262	20448-7
C0803280	20466-9
C0803368	20559-1
C0364188	2056-0
C0803373	20564-1
C0803382	20573-2
C0803383	20574-0
C0803398	20593-0
C0803403	20598-9
C0803404	20599-7
C0803406	20601-1
C0803407	20602-9
C0803409	20604-5
C0803437	20633-4
C0803438	20634-2
C0803439	20635-9
C0803440	20636-7
C0803441	20637-5
C0803442	20638-3
C0803443	20639-1
C0803444	20640-9
C0880187	20642-5
C0803447	20643-3
C0803448	20644-1
C0803449	20645-8
C0803451	20647-4
C0803452	20648-2
C0803453	20649-0
C0803454	20650-8
C0803455	20651-6
C0803456	20652-4
C0803457	20654-0
C0803458	20655-7
C0803459	20656-5
C0803460	20657-3
C0803461	20658-1
C0881709	20659-9
C0803464	20661-5
C0364201	2069-3
C0364204	2072-7
C0364209	2077-6
C0364221	2085-9
C0364223	2087-5
C0364225	2089-1
C0364227	2091-7
C0364230	2098-2
C0364231	2099-0
C0803788	20990-8
C0803789	20991-6
C0803798	21001-3
C0803823	21026-0
C0803824	21027-8
C0803832	21036-9
C0881716	21166-4
C0803963	21169-8
C0804011	21217-5
C0364259	2127-9
C0804076	21282-9
C0804077	21283-7
C0804099	21305-8
C0804120	21326-4
C0804121	21327-2
C0804137	21343-9
C0804141	21347-0
C0364269	2137-8
C0364273	2141-0
C0364274	2142-8
C0364278	2145-1
C0364282	2150-1
C0804294	21500-4
C0804296	21502-0
C0804325	21531-9
C0804350	21556-6
C0804354	21560-8
C0804357	21563-2
C0804376	21582-2
C0364294	2160-0
C0364296	2162-6
C0804446	21656-4
C0804462	21672-1
C0804499	21709-1
C0804536	21746-3
C0804541	21751-3
C0804543	21753-9
C0804548	21759-6
C0879728	22131-7
C0364350	2216-0
C0364351	2217-8
C0364365	2230-1
C0364375	2240-0
C0880013	22466-7
C0880034	22488-1
C0364386	2251-7
C0364389	2254-1
C0880106	22573-0
C0880112	22580-5
C0880188	22670-4
C0880190	22672-0
C0880201	22687-8
C0364404	2269-9
C0880263	22763-7
C0364418	2283-0
C0364419	2284-8
C0364443	2308-5
C0364447	2312-7
C0880649	23202-5
C0364474	2336-6
C0364481	2341-6
C0364489	2349-9
C0364491	2351-5
C0881037	23658-8
C0881125	23761-0
C0881178	23820-4
C0881185	23827-9
C0881186	23828-7
C0881188	23830-3
C0881189	23831-1
C0881227	23877-4
C0881228	23878-2
C0881253	23905-3
C0881280	23940-0
C0882455	23979-8
C0364538	2398-6
C0881319	23985-5
C0881324	23991-3
C0881325	23992-1
C0881339	24007-7
C0882461	24049-9
C0881402	24082-0
C0882468	24103-4
C0881425	24110-9
C0881429	24115-8
C0881437	24124-0
C0881593	24315-4
C0881628	24357-6
C0881701	24447-5
C0881713	24462-4
C0881717	24467-3
C0881721	24471-5
C0881722	24472-3
C0881724	24475-6
