CUI	CODE
C0375799	Z86.19
C2887838	K51.90
C0020538	I10
C2882073	I10
C0085580	I10
C0011581	F32.9
C0024517	F32.9
C0011570	F32.9
C1269683	F32.9
C2900578	M81.0
C2900579	M81.0
C0029456	M81.0
C2900577	M81.0
C2900576	M81.0
C0003469	F41.9
C0023903	C22.0
C2239176	C22.0
C0027498	R11.2
C2910399	R11.2
C2911573	Z98.89
C2911563	Z98.89
C0348591	I21.3
C0155626	I21.3
C2882120	I21.3
C2882119	I21.3
C0040147	E06.9
C2976983	T78.40XA
C0032650	M71.20
C0004604	M54.9
C0494290	E11.9
C3264374	I48.91
C0002871	D64.9
C2887465	J45.909
C0004096	J45.909
C0022408	M19.90
C0029408	M19.90
C2894025	M19.90
C0003864	M19.90
C2882277	I50.9
C0685095	I50.9
C0018802	I50.9
C2882278	I50.9
C0018801	I50.9
C2874082	E11.319
C0006277	J40
C0040586	J40
C0155872	J40
C0262942	M79.7
C0016053	M79.7
C0158280	M48.02
C0838628	M48.10
C0086543	H26.9
C0009951	R56.9
C0751494	R56.9
C0234972	R56.9
C1719638	R56.9
C0003873	M06.9
C0040128	E07.9
C2874096	E11.39
C0008325	K81.9
C0476550	Z21
C0019699	Z21
C0152025	G62.9
C0442874	G62.9
C0036220	C46.9
C1719301	B59
C0032305	B59
C2854054	C85.90
C1456263	B19.20
C0019196	B19.20
C0020445	E78.0
C0678189	E78.0
C0745103	E78.0
C0037944	M48.00
C0027831	Q85.01
C0028754	E66.9
C2895161	M27.40
C0022361	M27.40
C0007859	M54.2
C0024031	M54.5
C0235632	M54.5
C2911172	Z78.9
C0030196	M79.609
C2896444	M79.609
C1456322	F45.42
C0003467	F41.1
C0700613	F41.1
C0270549	F41.1
C0029942	F41.1
C1279420	F41.1
C2910446	Z00.00
C2910447	Z00.00
C0260526	Z83.3
C2911238	Z83.3
C2910668	Z23
C2910488	Z01.419
C2910595	Z12.4
C0260914	Z12.4
C1261325	Z80.3
C2911282	Z80.3
C2830536	R87.610
C2910594	Z12.39
C0158288	M48.06
C0391994	Z98.1
C2910572	Z09
C2910571	Z09
C2895240	M43.27
C0265677	Q76.49
C0158775	Q76.49
C0478074	Q76.49
C0265678	Q76.49
C2910339	Q76.49
C0158776	Q76.49
C1405109	Q76.49
C0265681	Q76.49
C2880102	A04.7
C1257843	A04.7
C0494025	A04.7
C2350019	R91.1
C0009250	R91.1
C3161219	R91.1
C0020473	E78.5
C0162316	D50.9
C1272092	R73.01
C1260439	R73.01
C2896459	M79.673
C0020621	E87.6
C0478148	G89.29
C0231749	M25.569
C2895375	M50.30
C2895371	M50.20
C0477631	M53.80
C0029927	N83.20
C0495119	N94.9
C0007642	L03.90
C2888057	L02.419
C2888113	L03.119
C2888089	L02.91
C0023380	R53.83
C0015672	R53.83
C2830454	R53.83
C2712905	E78.2
C1704417	E78.2
C0302164	E78.2
C0020474	E78.2
C2712907	E78.2
C2874289	E78.2
C1399990	E78.2
C0027804	R53.81
C2830453	R53.81
C0231218	R53.81
C2830452	R53.81
C1386058	R53.81
C1883552	R53.81
C2895383	M50.90
C0178417	R45.84
C2887379	J06.9
C0041912	J06.9
C0264222	J06.9
C0520679	G47.33
C0838801	M54.12
C2895272	M47.817
C0260518	Z82.3
C2911229	Z82.3
C2911577	Z99.81
C2363337	Z99.81
C1532320	Z80.42
C2911210	Z80.1
C0260507	Z80.1
C2911049	Z68.29
C2895267	M47.812
C0477617	M48.8X9
C2910593	Z12.31
C2910907	Z47.89
C0042963	R11.10
C2895400	M51.26
C0038017	Q76.2
C0840926	Q76.2
C0838574	M47.12
C0838584	M47.22
C2910499	Z01.818
C2910498	Z01.818
C2910497	Z01.818
C0037928	G95.9
C0019209	R16.0
C0495672	R16.0
C0023895	K76.9
C2887948	K76.89
C0267825	K76.89
C0348751	K76.89
C0700636	K76.89
C2864428	S83.249A
C0260684	Z93.2
C0878742	Z12.11
C2977628	Z12.11
C0260917	Z12.12
C2869507	D27.9
C0495694	R47.1
C2874070	E10.65
C0011991	R19.7
C2202235	M25.561
C2142181	M25.562
C0344304	R10.84
C0042029	N39.0
C2875361	G89.18
C2875360	G89.18
C0030201	G89.18
C0345904	C22.9
C2873735	D49.0
C0496870	D13.4
C0345909	D13.4
C0024103	N63
C2239097	N63
C2830589	R92.0
C2830591	R92.8
C0037619	N60.09
C2903107	N60.89
C2903098	N60.29
C2873864	E05.00
C2910493	Z01.810
C0838671	M48.8X2
C0158535	Q05.5
C2894677	M23.329
C0496739	Z95.0
C2074673	I50.32
C2874225	E66.01
C2874123	E11.65
C0085617	I73.9
C0021775	I73.9
C0085096	I73.9
C0080174	Q76.0
C2874102	E11.49
C2977645	Z68.43
C2911443	Z90.79
C0346118	D17.9
C0023798	D17.9
C0027343	L60.0
C0021831	K63.9
C2889494	M07.60
C0030193	R52
C0281856	R52
C0184567	R52
C2864377	S83.209A
C1719727	Z48.02
C1719693	Z48.02
C1135196	I50.30
C2911209	Z80.0
C0260506	Z80.0
C2830537	R87.611
C0022602	L57.0
C0343642	B07.9
C0496885	D23.9
C2865488	D23.60
C0027962	D22.9
C2911188	Z79.899
C0409959	M17.9
C2895125	M25.869
C2837938	C22.8
C0348742	K62.89
C0033246	K62.89
C2830590	R92.1
C2911144	Z77.011
C0158360	M72.2
C0149756	M72.2
C2976796	S83.90XA
C2865331	S86.919A
C0343166	M25.469
C2864596	S83.91XA
C2894671	M23.305
C1306557	I87.2
C2607914	J30.9
C0348657	I86.8
C1407930	I86.8
C0495121	N95.1
C2903144	N95.1
C0392682	R03.0
C0042345	I83.90
C2887240	I83.90
C2865433	D17.79
C0348415	D17.79
C2865432	D17.79
C0344225	Z97.5
C1407928	N89.8
C0023533	N89.8
C0156388	N89.8
C0029819	N89.8
C2977637	Z30.431
C2921303	Z30.432
C2896400	M76.60
C0042548	B07.0
C0036508	L21.9
C0023643	L28.0
C0149922	L28.0
C0014544	G40.909
C0748607	G40.909
C2875140	G40.909
C0016781	H18.51
C0544008	H18.51
C0494284	E10.9
C2880373	H18.239
C0015310	H50.10
C2880195	H16.009
C2880370	H18.231
C2910579	Z11.59
C2895187	M33.20
C2910639	Z13.9
C0348571	H53.8
C0151827	H57.10
C2895406	M51.37
C2887672	K29.70
C2887676	K29.90
C2864424	S83.242A
C2864374	S83.207D
C2864373	S83.207A
C1455901	R87.619
C2830544	R87.619
C2830545	R87.619
C0476427	R87.619
C1455900	R87.619
C2830546	R87.619
C2830547	R87.619
C2830539	R87.613
C0375805	Z87.19
C0851140	D06.9
C0260925	Z13.1
C0269192	N87.9
C0007868	N87.9
C0269193	N87.9
C0156409	N95.2
C0001857	B20
C0001175	B20
C0019693	B20
C0864665	B20
C2910462	Z00.6
C3264055	Z00.6
C2905641	X58.XXXA
C0023321	L81.4
C0494870	L81.4
C0157726	L84
C0263631	L84
C0376154	L84
C0154049	D18.01
C2911359	Z88.2
C2977669	Z90.49
C2887844	K51.918
C2910933	Z48.89
C0162810	L91.0
C0022548	L91.0
C0699916	Z12.5
C2910542	Z03.89
C0348743	K63.89
C2911538	Z96.659
C0038436	F43.10
C2911355	Z87.891
C2910906	Z47.1
C2882169	I25.2
C0155668	I25.2
C2887511	J95.89
C2911054	Z68.33
C0564822	M79.605
C2896442	M79.605
C2893935	M17.12
C0684425	D48.5
C2873726	D48.5
C2873727	D48.5
C0684418	D48.5
C0496955	D48.5
C0375488	L82.1
C0022603	L82.1
C2865468	D22.5
C2865469	D22.5
C0349066	D22.5
C1290128	D22.5
C1290126	D22.5
C2873737	D49.2
C0496882	D23.5
C2865485	D23.5
C2865487	D23.5
C2865486	D23.5
C2865484	D23.5
C0260823	Z71.3
C0936227	R63.4
C0085666	I78.1
C0265027	I78.1
C0343113	I78.1
C0549567	L81.9
C2893933	M17.10
C0022408	M12.9
C0494079	B00.2
C1399523	B00.2
C0349459	N87.1
C1456056	N87.1
C0495702	R68.89
C0478183	R89.6
C0024205	I88.9
C0494627	I88.9
C2937222	K51.20
C2887796	K51.20
C2887798	K51.211
C2016977	M79.671
C0042798	H54.7
C2881435	H54.7
C0338939	F45.8
C0006325	F45.8
C0149765	F45.8
C0349249	F45.8
C0349785	F45.8
C0154555	F45.8
C2874956	F45.8
C0019322	K42.9
C0267704	K42.9
C2887876	K57.30
C0012819	K57.30
C0267710	K43.9
C0019287	K43.9
C0019326	K43.9
C2895405	M51.36
C1410847	M43.20
C0476278	R07.89
C0029537	R07.89
C0154588	F43.23
C1263855	M54.16
C0027497	R11.0
C2910396	R11.0
C0476206	R42
C0220870	R42
C0042571	R42
C0232286	R07.2
C0032026	L42
C0015230	R21
C2911536	Z96.652
C3264175	H40.053
C1410326	E04.2
C2873863	E04.2
C0271761	E04.2
C3264167	H40.039
C2893841	M14.60
C2895271	M47.816
C2881014	H40.212
C2910470	Z01.00
C2910471	Z01.00
C2881345	H52.13
C0033075	H52.4
C0008031	R07.9
C0266959	M27.49
C0029569	M27.49
C0392493	M27.49
C0266961	M27.49
C2880584	H25.11
C2880585	H25.12
C0838588	M47.26
C0042870	E55.9
C0221777	E04.9
C0018021	E04.9
C1318500	E04.9
C2893934	M17.11
C2911595	B19.10
C2911596	B19.10
C0018916	D18.00
C0014511	L72.0
C0838438	M43.16
C0154298	D62
C0038016	M43.10
C0001529	E88.2
C0023801	E88.2
C0869206	E88.2
C0010200	R05
C2910977	Z53.8
C0156183	K62.4
C2887899	K62.4
C0478606	Z65.8
C3241938	M53.9
C0029882	H66.90
C0426732	N40.0
C2903007	N40.0
C3264501	N40.0
C2880401	H18.609
C0027430	J33.9
C0033074	H91.10
C0376358	C61
C1565662	N28.9
C0268701	N28.9
C1408247	N28.9
C0022658	N28.9
C1561641	N18.4
C2854090	C91.10
C2854091	C91.10
C0023434	C91.10
C2853910	C83.30
C0017601	H40.9
C0007785	I63.9
C0038454	I63.9
C3263820	C44.90
C3263821	C44.90
C2882231	I33.0
C0494589	I33.0
C2882229	I33.0
C0553977	I33.0
C2882227	I33.0
C2882232	I33.0
C2882230	I33.0
C2882228	I33.0
C2911498	Z95.2
C0478678	Z95.2
C0017168	K21.9
C0341102	K21.9
C1390190	I61.9
C0029878	H60.90
C2882161	I25.10
C0010054	I25.10
C2864137	S83.006A
C2894857	M24.50
C1692886	M00.9
C0003869	M00.9
C0036528	C78.6
C0546837	C15.9
C0153415	C15.5
C0838341	M41.20
C0005940	M89.9
C0007302	M94.9
C0036439	M41.9
C2888171	L25.9
C2888172	L25.9
C0011616	L25.9
C0452138	H90.3
C2349913	Z92.21
C0481620	Z92.3
C2911484	Z92.3
C2837932	C16.0
C0346619	C16.0
C0153417	C16.0
C0475534	D63.0
C0267777	K66.0
C0866038	K66.0
C0267779	K66.0
C0267781	K66.0
C0264585	K66.0
C0267778	K66.0
C2887907	K66.0
C0341523	K66.0
C0267780	K66.0
C2910971	Z53.09
C0477434	H60.399
C0162820	L23.9
C1393798	L23.9
C0478166	R79.89
C0348944	E79.0
C0281782	E79.0
C2911470	Z91.19
C2865399	D12.6
C0347272	D12.6
C2865400	D12.6
C0004991	D12.6
C3264457	K64.8
C3264456	K64.8
C3264455	K64.8
C0276610	B18.1
C0524909	B18.1
C2874078	E11.29
C2874079	E11.29
C2881961	H91.90
C2882079	I12.9
C1719463	I12.9
C0848548	I12.9
C2902904	N05.8
C2902903	N05.8
C0022661	N18.9
C0022658	N18.9
C1579029	N18.9
C1561643	N18.9
C1455979	Z79.4
C0348617	I42.8
C2910866	Z45.02
C2977641	Z45.02
C2882398	I63.50
C0003962	R18.8
C1955521	R18.8
C0031144	R18.8
C0033774	L29.9
C0013595	L30.9
C0011603	L30.9
C2865383	D07.5
C0154088	D07.5
C2976806	D07.5
C0349782	I25.5
C0155669	I25.89
C0002395	G30.9
C2854052	C85.89
C0263465	L85.3
C0549201	L85.3
C2349994	L73.8
C0477512	L73.8
C0018799	I51.9
C0580546	R73.09
C2830476	R73.09
C0362046	R73.09
C1260443	R73.09
C0271650	R73.09
C0026848	G72.9
C2976979	I82.409
C0013415	F34.1
C0302874	F34.1
C0282126	F34.1
C1387804	F34.1
C0011581	F34.1
C0812413	C45.0
C0153494	C38.4
C0024115	J98.4
C0264523	J98.4
C0238255	J98.4
C0264525	J98.4
C0348712	J98.4
C0154033	D32.0
C0232858	R30.0
C0013428	R30.0
C0839006	M62.50
C0477691	M89.8X9
C0037011	M25.519
C2977231	M76.899
C0477668	M79.89
C0343211	M79.89
C2830330	R29.898
C0239266	M25.529
C2895018	M25.40
C0022408	M25.9
C2895106	M25.819
C0178415	R97.2
C0007286	G56.00
C1288279	G56.20
C2830314	R20.9
C0494491	G58.9
C2903008	N40.1
C3264502	N40.1
C0149516	J32.9
C0917805	G45.9
C0007787	G45.9
C0265110	G45.9
C0037859	N43.40
C0017412	N50.9
C2896358	M75.00
C2893968	M19.019
C0543800	E83.59
C0489982	E83.59
C2911500	Z95.810
C2977670	Z95.810
C0035204	J98.9
C0264220	J98.9
C0080274	R33.9
C2910383	R06.09
C0476283	R09.89
C0476285	R09.89
C0546947	R09.89
C0232112	R09.89
C0476284	R09.89
C0232132	R09.89
C1955514	R09.89
C0034642	R09.89
C0478115	R09.89
C2882567	I69.31
C2882649	I69.91
C0241040	M25.511
C2895238	M43.25
C0232495	R10.30
C0000737	R10.9
C0029410	M16.9
C2895121	M25.859
C0013404	R06.02
C2977064	J96.00
C3161126	R91.8
C3264580	R91.8
C0235896	R91.8
C0476367	R91.8
C0008677	J42
C0264323	J42
C0264322	J42
C0348773	Z71.89
C2874369	F09
C0520473	F09
C0029227	F09
C2976868	F09
C0029221	F09
C1405648	F09
C2911025	Z66
C2911674	Z66
C0375892	Z51.5
C0234507	R41.89
C0495688	R41.89
C0478182	R89.5
C2830574	R89.5
C2833826	B97.89
C0700292	R09.02
C0013404	R06.00
C1719378	G31.84
C0272192	D72.1
C0272193	D72.1
C0014457	D72.1
C0042514	I47.2
C2911327	Z86.73
C1955570	Z86.73
C2911326	Z86.73
C1406195	B97.4
C3264392	J84.09
C2830338	R33.8
C0039104	M65.9
C2895029	M25.449
C2895024	M25.431
C2895027	M25.441
C2887959	K80.20
C2887980	K80.50
C0156205	K80.21
C2887463	J45.901
C2896440	M79.603
C0239377	M79.603
C2910568	Z04.9
C2910569	Z04.9
C2911178	Z79.01
C0005745	H02.409
C0376117	L82.0
C0494865	L73.9
C2887461	J45.51
C0155001	H53.10
C2910793	Z41.1
C2910795	Z41.1
C2910794	Z41.1
C0036454	H53.40
C0264313	J38.3
C0264311	J38.3
C0264310	J38.3
C0155852	J38.3
C0264312	J38.3
C0019825	R49.0
C1527344	R49.0
C0023051	J38.7
C0023059	J38.7
C0264301	J38.7
C0264302	J38.7
C0264308	J38.7
C0264304	J38.7
C0264307	J38.7
C0079950	J38.7
C3161052	C44.41
C2875455	H01.119
C2874324	F01.50
C0002622	R41.3
C0478135	R41.3
C2903069	N50.8
C2903072	N50.8
C2903073	N50.8
C2903068	N50.8
C2903070	N50.8
C2903071	N50.8
C0029782	N50.8
C1397497	N50.8
C2902839	M99.83
C0751908	H81.20
C2875630	H02.539
C2875545	H02.139
C3263822	C44.91
C0009806	K59.00
C2887449	J45.20
C1960045	J45.20
C3263762	C44.319
C2896441	M79.604
C0564823	M79.604
C0477605	M41.80
C2875625	H02.532
C2875525	H02.102
C2888632	L90.5
C2004491	L90.5
C1399769	L90.5
C0036278	L90.5
C0263008	L90.5
C2882186	I25.728
C0264694	I25.9
C0496864	D12.5
C0009376	K63.5
C0746674	M62.81
C0036202	D86.9
C2833828	B99.9
C0004134	R27.0
C1263720	C45.1
C2838021	C45.1
C2838020	C45.1
C1263718	C45.1
C1263719	C45.1
C0346109	C45.1
C0025500	C45.9
C0476486	R59.1
C0497156	R59.1
C2882088	I20.0
C0002965	I20.0
C1394765	I20.0
C0086666	I20.0
C2882087	I20.0
C0004144	J98.11
C2830610	R94.31
C0235480	I48.0
C0476573	Z95.1
C0476574	Z95.5
C2911205	Z79.82
C0018099	M10.9
C2911293	Z85.72
C2977649	Z85.72
C3251816	I71.2
C0476226	R20.0
C0497156	R59.9
C0348569	H52.6
C0027145	E03.9
C0020676	E03.9
C0865026	C80.1
C2853710	C80.1
C0006826	C80.1
C0865023	C80.1
C0151779	C43.9
C2977901	C43.9
C2887436	J34.9
C1456308	F31.89
C0338832	F31.89
C0037315	G47.30
C0015732	R15.9
C2921132	R15.9
C0036341	F20.9
C0030286	K86.9
C0478190	R93.5
C0152014	K86.8
C0029771	K86.8
C0267952	K86.8
C0267954	K86.8
C0267959	K86.8
C0267953	K86.8
C0267951	K86.8
C0267955	K86.8
C0260410	Z85.038
C2911256	Z85.038
C0494741	K31.9
C2887670	K29.60
C0040034	D69.6
C0042024	R32
C0014394	R32
C0020461	E87.5
C0400966	K76.0
C0494797	K76.0
C2873877	E05.90
C0007102	C18.9
C0346629	C18.9
C0086692	D36.9
C2911300	Z85.828
C0260449	Z85.828
C0019364	B02.30
C2900501	B02.39
C2900502	B02.39
C0375804	Z86.010
C0260429	Z85.46
C2837997	C43.60
C0865474	G20
C0030567	G20
C1399358	G20
C0865475	G20
C0865476	G20
C0005586	F31.9
C2911282	Z85.3
C0260421	Z85.3
C2874370	F10.10
C2877008	T38.0X5A
C2886864	T81.4XXA
C2910869	Z45.2
C2910870	Z45.2
C2833802	B95.8
C2910401	R14.0
C1291077	R14.0
C0235698	R14.0
C0476289	R14.1
C0014724	R14.2
C0016204	R14.3
C2910630	Z13.820
C0332544	R63.5
C0406047	L08.9
C0281980	T14.8
C0009938	T14.8
C0016658	T14.8
C0178324	T14.8
C0332679	T14.8
C0478393	T14.8
C1302752	T14.8
C2875037	G06.1
C2875038	G06.1
C0494449	G06.1
C2875039	G06.1
C2875036	G06.1
C2886728	T79.2XXA
C2891375	T88.8XXA
C2833813	B96.89
C0481347	Y83.8
C0348688	J30.2
C0476258	R00.2
C0030252	R00.2
C0036396	M54.30
C2895423	M54.42
C0019158	K75.9
C2895212	M40.209
C0392048	M40.00
C2880583	H25.10
C2880586	H25.13
C0007820	I67.9
C0348888	I95.0
C2911320	Z86.39
C2830474	R73.02
C2830475	R73.02
C2911561	Z98.61
C0452221	M46.20
C3264133	Z86.718
C2882111	I21.29
C2882117	I21.29
C2882109	I21.29
C2882113	I21.29
C0494579	I21.29
C2882110	I21.29
C2882116	I21.29
C2882118	I21.29
C2882114	I21.29
C2882115	I21.29
C2882112	I21.29
C1719537	N18.6
C2316810	N18.6
C2945570	Z99.2
C0481496	Z99.2
C2349870	Z99.2
C1399375	Z99.2
C0041327	A15.0
C0041336	A15.0
C0152586	A15.0
C0275891	A15.0
C0152600	A15.0
C2881417	H54.0
C1879328	H54.0
C0495683	R26.9
C0477764	N49.8
C1398501	N49.8
C0233407	R41.0
C0009676	R41.0
C0011206	R41.0
C0221539	R40.4
C2837477	S32.009K
C2891220	T85.698A
C0019559	M25.559
C0477313	D64.3
C0002896	D64.3
C2873781	D64.3
C2901124	M84.48XA
C0496743	Z96.1
C2911506	Z96.1
C2875604	H02.429
C2875720	H04.129
C0700594	M54.10
C2833796	B95.2
C0496701	Z74.2
C0264069	M86.9
C2242472	M86.9
C0029443	M86.9
C2890894	T84.7XXA
C2976993	I82.4Y9
C0838508	M46.26
C2833801	B95.7
C1561640	N18.3
C0242383	H35.30
C3264146	H35.30
C2890475	T84.039A
C1561639	N18.2
C0418680	Y83.1
C2911357	Z88.0
C0841010	Z96.698
C2907692	Y92.10
C2890122	T82.598A
C2890797	T84.498A
C0481344	Y83.4
C2910439	Y92.9
C2911505	Z95.828
C2911503	Z95.828
C0153690	C79.51
C0011175	E86.0
C0495679	R22.2
C0039231	R00.0
C2910380	R00.0
C0340468	R00.0
C1742883	R93.0
C2887198	I83.10
C0040261	B35.1
C0085656	L30.0
C2887199	I83.11
C2887200	I83.12
C2890195	T82.898A
C0838771	M53.82
C3264189	H40.11X3
C2875603	H02.423
C3264186	H40.11X0
C2875719	H04.123
C2856554	S72.012D
C2900173	W01.0XXA
C2861211	S82.109B
C2859080	S72.90XB
C2859115	S72.92XC
C2861536	S82.141C
C2857704	S72.309D
C2864059	S82.90XD
C2857684	S72.302A
C2857687	S72.302D
C2911350	Z87.81
C2858307	S72.402E
C2900262	W10.9XXD
C2911556	Z98.3
C0837881	M11.89
C2861963	S82.209A
C0157884	M11.80
C3263765	C44.329
C2856519	S72.009D
C2858306	S72.402D
C2875282	G57.12
C0868862	M46.1
C2910904	Z46.89
C2910899	Z46.89
