CUI	CODE
C0311394	D051346
C1565249	D051346
C0042420	D019462
C0751721	D019462
C0751722	D019462
C0751723	D019462
C0037285	D012877
C0152459	D057896
C0917816	D008607
C0025363	D008607
C0025362	D008607
C0020796	D008607
C0041657	D014474
C0026884	D009155
C0234477	D009155
C0236818	D009155
C0264628	D009155
C0751338	D009155
C0033931	D011602
C0001925	D000419
C0036396	D012585
C0751492	D012585
C0018834	D006356
C0024408	D017827
C0751671	D017827
C0751668	D017827
C0751670	D017827
C0751669	D017827
C0013608	D004489
C0162550	D017109
C0162549	D017109
C0751647	D017109
C0007859	D019547
C0751724	D019547
C0751725	D019547
C0342731	D054078
C0398691	D054078
C1959626	D054078
C0520680	D020182
C0751762	D020182
C0751763	D020182
C0475712	D020182
C0020672	D007035
C0274285	D007035
C0026837	D009127
C0233608	D009127
C0151564	D009127
C0239325	D009127
C0277821	D009127
C0231519	D009127
C1320474	D009127
C0349464	D020915
C0020179	D006816
C0393574	D006816
C0751208	D006816
C0751207	D006816
C0006110	D001926
C0750966	D001926
C0751838	D020235
C0751839	D020235
C1510417	D020235
C0003079	D015875
C0751612	D015875
C0085636	D020795
C0005904	D001832
C0751772	D020187
C2316166	D056124
C0020438	D053565
C1535893	D054971
C0032617	D011141
C0032768	D051474
C0040460	D014098
C0026705	D016532
C2718304	D016532
C0312416	D048968
C0016382	D005483
C0242584	D016553
C0043117	D016553
C0037822	D013064
C0751514	D013064
C0233726	D013064
C0009090	D013064
C0751512	D013064
C3495145	D013064
C0751513	D013064
C1148477	D003639
C0011057	D003639
C0752298	D020922
C0752299	D020922
C0752297	D020922
C0028250	D020922
C0456512	D020922
C0542313	D020922
C0752300	D020922
C0600142	D019584
C0424295	D006948
C0751217	D006948
C0007815	D002559
C0751031	D002559
C0751030	D002559
C0043068	D014884
C1403891	D014884
C0037768	D013746
C0039621	D013746
C0270224	D013746
C0917812	D013746
C0037090	D012818
C0013388	D004411
C0751092	D004411
C0751090	D004411
C0751091	D004411
C0037384	D012913
C0034152	D011695
C0042386	D011695
C0242461	D011695
C0086922	D011695
C0376362	D011695
C0042755	D014770
C1452968	D014770
C0042940	D014832
C0264600	D014832
C1527340	D014832
C0241700	D014832
C0027497	D009325
C0002965	D000789
C0086666	D000789
C0085642	D054068
C0009398	D003117
C0242225	D003117
C0155018	D003117
C0155017	D003117
C0239777	D003117
