CUI	Node_ID	Node_Type
C1826462	2832	Gene
C0002575	DB01223	Compound
C3146592	256227	Gene
C0965129	DB01098	Compound
C1428914	114770	Gene
C1428915	114771	Gene
C1427724	374907	Gene
C1427724	146712	Gene
C1415717	3268	Gene
C1415714	3266	Gene
C1415715	3267	Gene
C1415712	3263	Gene
C1415713	55806	Gene
C1415718	3270	Gene
C1427723	9828	Gene
C1427721	202865	Gene
C1417718	25791	Gene
C1417719	4803	Gene
C1417714	4799	Gene
C1417715	4800	Gene
C1417716	4801	Gene
C1417717	4802	Gene
C1417710	4794	Gene
C1417711	4795	Gene
C1417712	4796	Gene
C1417713	4798	Gene
C0271051	C0271051	SideEffect
C0271053	C0271053	SideEffect
C3147174	57724	Gene
C1963763	D055111	Symptom
C0031190	C0031190	SideEffect
C0003621	C0003621	SideEffect
C0030824	C0030824	SideEffect
C0596601	C0596601	SideEffect
C0030827	DB01053	Compound
C2939094	C2939094	SideEffect
C0031448	DB00692	Compound
C0031444	DB00946	Compound
C0031447	DB00191	Compound
C0031441	DB00925	Compound
C1417129	4239	Gene
C0861111	C0861111	SideEffect
C0964742	162979	Gene
C0960676	445347	Gene
C1418534	5257	Gene
C1367689	5329	Gene
C2677573	146227	Gene
C1418538	5261	Gene
C3471468	442213	Gene
C1504561	C1504561	SideEffect
C0030318	C0030318	SideEffect
C0030319	C0030319	SideEffect
C0030312	C0030312	SideEffect
C0030310	DB01337	Compound
C0024441	C0024441	SideEffect
C0024440	C0024440	SideEffect
C0155943	C0155943	SideEffect
C0155947	C0155947	SideEffect
C1537584	9926	Gene
C1333712	2915	Gene
C1537586	23143	Gene
C1537587	57631	Gene
C1537580	167410	Gene
C1537581	128077	Gene
C1333715	2952	Gene
C1537583	125336	Gene
C1333719	2960	Gene
C1333718	2959	Gene
C1537588	84859	Gene
C0000545	DB00159	Compound
C1845260	340533	Gene
C1427478	221545	Gene
C1427479	147040	Gene
C1427472	171558	Gene
C1427473	9783	Gene
